Name,Pete,Bob,Nel,Marty,Mal,Done#,
Cash,2724,1037,1512,1358,1528,
Baltimore & Ohio,1,9,0,0,0,
Boston & Maine,0,9,0,1,0,
Chesapeake & Ohio,0,0,3,7,0,
Illinois Central,1,0,4,0,5,
Erie,0,0,0,10,0,
New York Central,6,0,4,0,0,
Nickel Plate,0,0,0,0,10,
New York New Haven & Hartford,0,0,0,9,1,
Pennsylvania,10,0,0,0,0,
Wabash,0,0,10,0,0,
Baltimore & Ohio,0,0,0,0,0,
Boston & Maine,0,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,0,
Illinois Central,0,0,0,0,0,
Erie,0,0,0,0,0,
New York Central,0,0,0,0,0,
Nickel Plate,0,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,0,
Pennsylvania,0,0,0,0,0,
Wabash,0,0,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 39,424,7,440,25,25,310,240,55,355,
NetProfit,390,190,380,280,330,370,300,140,440,210,
Valuation, 15,6,13,14,15,9,14,11,12,12,
President, 1,1,3,4,3,0,4,3,0,2,
Shares, 0,0,0,0,0,0,0,0,0,0,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,1,1,1,1,1,1,1,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 0,9,4,3,1,8,2,7,5,6,
Albany,0,1,1,0,1,1,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,1,0,1,0,0,1,0,0,0,0,
Boston,0,1,0,0,0,1,0,1,0,0,
Buffalo,0,0,1,0,1,1,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,1,0,0,1,0,0,1,0,1,0,
Cincinnati,0,0,0,1,0,0,0,0,0,1,
Cleveland,1,0,0,0,1,1,1,0,1,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,1,0,0,0,1,1,1,0,1,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,1,0,0,0,1,1,1,0,1,1,
Harrisburg,0,0,0,0,0,0,0,0,1,0,
Hartford,0,1,0,0,0,1,0,1,0,0,
Hunington,0,0,0,0,0,0,0,0,0,1,
Indainapolis,1,0,0,0,0,1,1,0,1,1,
Lexington,0,0,0,1,0,0,0,0,0,1,
Lousiville,0,0,0,1,0,0,0,0,0,1,
NewHaven,0,1,0,0,0,0,0,1,0,0,
NewYork,0,1,1,0,0,1,0,1,1,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,1,0,1,0,0,1,0,0,1,0,
Pittsburg,0,0,0,0,1,1,0,0,1,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,1,0,0,0,0,0,0,0,
Roanoke,0,0,1,0,0,0,0,0,0,0,
SaintLouis,0,0,0,1,0,0,0,0,0,0,
Springfield,0,0,0,1,0,0,0,0,0,0,
Syracuse,0,0,1,0,1,1,0,0,0,0,
Utica,0,0,1,0,1,1,0,0,0,0,
Washington,0,0,1,0,0,0,0,0,0,0,
Wheeling,1,0,0,0,1,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,1,0,
Coal2,1,0,0,0,0,0,0,0,0,0,
Coal3,1,0,0,0,0,0,0,0,0,0,
Coal4,0,0,1,0,0,0,0,0,0,0,
Coal5,0,0,1,0,0,0,0,0,0,0,
1,-1,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,-1,0,
3,0,0,0,0,0,-1,0,0,0,0,
4,0,0,0,0,0,-1,0,0,0,0,
5,-1,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,1,0,
7,0,0,0,0,0,-1,0,0,0,0,
8,-1,0,0,0,0,0,0,0,0,0,
9,0,-1,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,1,0,
11,0,0,0,0,0,1,0,0,0,0,
12,0,-1,0,0,0,0,0,0,0,0,
13,-1,0,0,0,0,0,0,0,0,0,
14,0,0,-1,0,0,0,0,0,0,0,
15,0,0,0,0,1,0,0,0,0,0,
16,0,0,1,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,-1,0,0,0,
18,0,0,0,0,1,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,1,0,
20,0,0,0,0,0,1,0,0,0,0,
21,0,0,0,0,0,0,1,0,0,0,
22,1,0,0,0,0,0,0,0,0,0,
23,0,0,0,1,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,1,
25,0,0,1,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,1,0,0,
27,0,1,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,3, 
Turn,9, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
