DrG,John,Sam,Casey,Tim,,,,,,,,,,,,,,,,,,,,,,,,,
628,1040,545,594,549,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,,,,,,,,,,,,,,,,,,,,
474,185,0,330,0,97,570,235,177,345,,,,,,,,,,,,,,,,,,,,
360,80,230,280,0,400,180,100,410,250,,,,,,,,,,,,,,,,,,,,
13,6,10,11,1,13,9,10,11,11,,,,,,,,,,,,,,,,,,,,
2,3,0,2,6,4,3,0,1,3,,,,,,,,,,,,,,,,,,,,
0,7,0,0,10,1,0,8,0,0,,,,,,,,,,,,,,,,,,,,
0,2,0,0,0,1,9,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0,8,6,2,9,1,7,5,3,4,,,,,,,,,,,,,,,,,,,,
-10,-10,-10,-10,-10,1,-10,-10,-10,1,5,0,-10,8,7,-10,6,2,8,2,3,9,5,-1,-1,-1,-1,-1,-1,-1
