Name,Malvoy,Pete,Bob,Sue,Done#,
Cash,396,843,1290,1110,
Baltimore & Ohio,0,0,10,0,
Boston & Maine,10,0,0,0,
Chesapeake & Ohio,0,0,0,10,
Illinois Central,0,5,0,0,
Erie,4,0,0,0,
New York Central,0,0,0,10,
Nickel Plate,0,5,5,0,
New York New Haven & Hartford,1,0,1,0,
Pennsylvania,0,10,0,0,
Wabash,0,0,8,2,
Baltimore & Ohio,0,0,0,0,
Boston & Maine,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,0,0,0,0,
Nickel Plate,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 37,24,0,85,134,5,79,329,309,355,
NetProfit,440,140,340,160,260,250,230,60,250,240,
Valuation, 13,12,15,10,8,12,12,8,10,10,
President, 2,0,3,1,0,3,2,0,1,2,
Shares, 0,0,0,5,0,0,0,8,0,0,
Orphans, 0,0,0,0,6,0,0,0,0,0,
Started, 1,1,1,1,1,1,1,1,1,1,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 1,3,0,6,9,4,2,8,5,7,
Albany,0,1,0,0,1,1,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,1,0,1,0,0,0,0,0,0,0,
Boston,0,1,0,0,0,0,0,1,0,0,
Buffalo,0,0,0,0,1,1,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,1,0,1,0,0,0,1,0,1,1,
Cincinnati,0,0,1,1,0,0,1,0,0,0,
Cleveland,1,0,0,0,1,0,0,0,1,1,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,1,0,0,0,0,0,0,0,1,1,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,1,0,1,0,1,0,1,0,1,1,
Harrisburg,0,0,0,0,0,0,0,0,1,0,
Hartford,0,1,0,0,0,0,0,1,0,0,
Hunington,0,0,1,0,0,0,0,0,0,0,
Indainapolis,0,0,1,1,1,0,1,0,1,0,
Lexington,0,0,0,0,0,0,1,0,0,0,
Lousiville,0,0,0,0,0,0,1,0,0,0,
NewHaven,0,1,0,0,0,0,0,1,0,0,
NewYork,1,1,1,0,1,1,0,0,1,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,1,0,1,0,0,1,0,0,1,0,
Pittsburg,1,0,0,0,0,0,0,0,1,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,1,0,0,
Richmond,0,0,1,0,0,0,0,0,0,0,
Roanoke,0,0,1,0,0,0,0,0,0,0,
SaintLouis,0,0,0,1,0,0,0,0,0,0,
Springfield,0,0,0,0,0,0,0,0,0,0,
Syracuse,0,0,0,0,1,1,0,0,0,0,
Utica,0,0,0,0,1,1,0,0,0,0,
Washington,0,0,1,0,0,0,0,0,0,0,
Wheeling,0,0,0,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,1,0,
Coal2,1,0,0,0,0,0,0,0,0,0,
Coal3,1,0,0,0,0,0,0,0,0,0,
Coal4,1,0,0,0,0,0,0,0,0,0,
Coal5,0,0,1,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,-1,0,
2,-1,0,0,0,0,0,0,0,0,0,
3,0,-1,0,0,0,0,0,0,0,0,
4,0,-1,0,0,0,0,0,0,0,0,
5,0,-1,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,-1,0,
7,0,-1,0,0,0,0,0,0,0,0,
8,0,-1,0,0,0,0,0,0,0,0,
9,1,0,0,0,0,0,0,0,0,0,
10,0,0,-1,0,0,0,0,0,0,0,
11,0,0,1,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,1,0,0,
13,0,0,0,0,0,0,0,0,1,0,
14,0,0,0,0,-1,0,0,0,0,0,
15,0,0,0,0,0,0,-1,0,0,0,
16,0,0,0,0,0,0,-1,0,0,0,
17,0,1,0,0,0,0,0,0,0,0,
18,0,0,1,0,0,0,0,0,0,0,
19,1,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,1,0,0,0,0,0,
21,0,0,0,0,0,0,1,0,0,0,
22,0,0,0,0,0,-1,0,0,0,0,
23,0,0,0,1,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,1,
25,0,0,0,0,1,0,0,0,0,0,
26,0,0,0,0,0,1,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,3, 
Turn,9, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
